name,position,team,latest_value,expected_points,std_points,selection_freq
Ryan Fraser,MID,Newcastle,49,0.0,0.0,0.0
Ryan Fredericks,DEF,Bournemouth,43,0.0,0.0,0.0
Ryan Giles,DEF,Luton,42,1.9952314885747154e-05,0.0,0.0
Ryan Gravenberch,MID,Liverpool,50,0.4015124159533228,0.8,0.0
Ryan OnÃ©,MID,Sheffield Utd,44,2.7398872414140816e-08,0.0,0.0
Ryan Sessegnon,DEF,Spurs,44,0.0,0.0,0.0
Ryan Trevitt,MID,Brentford,45,0.0,0.0,0.0
Ryan Yates,MID,Nott'm Forest,48,2.2238697079965575,0.4898979485566356,0.0
Anis Slimane,MID,Sheffield Utd,47,0.0022002082502254926,0.0,0.0
RÃºnar Alex RÃºnarsson,GK,Arsenal,40,0.0,0.0,0.0
Sam Curtis,DEF,Sheffield Utd,40,0.0,0.0,0.0
Anssumane Fati Vieira,MID,Brighton,64,0.6395976032627352,1.3564659966250536,0.0
Sam Proctor,GK,Aston Villa,40,0.0,0.0,0.0
Sam Surridge,FWD,Nott'm Forest,45,0.0,0.0,0.0
Saman Ghoddos,MID,Brentford,45,0.30891978194396347,0.4898979485566356,0.0
Samuel Bastien,MID,Burnley,49,0.0,0.0,0.0
Sander Berge,MID,Burnley,46,1.4956489699040998,0.4,0.0
Sandro Tonali,MID,Newcastle,52,2.712768700514459e-08,0.0,0.0
Santiago Bueno,DEF,Wolves,45,0.34646774917479256,0.4,0.0
Sasa Kalajdzic,FWD,Wolves,49,0.1000066540259457,0.0,0.0
SaÃ¯d Benrahma,MID,West Ham,56,0.0002187192676825804,0.0,0.0
Anthony Elanga,MID,Nott'm Forest,51,2.7490953023157156,1.7435595774162693,0.0
Scott Carson,GK,Man City,38,0.0,0.0,0.0
Scott McKenna,DEF,Nott'm Forest,44,6.163760470752534e-10,0.0,0.0
Scott McTominay,MID,Man Utd,46,2.163475146243563,1.8547236990991405,0.0
Scott Twine,MID,Burnley,49,0.0,0.0,0.0
Seamus Coleman,DEF,Everton,44,0.0068749264808134905,0.0,0.0
Sean Longstaff,MID,Newcastle,48,3.125833215748776,0.4,0.0
Sepp van den Berg,DEF,Liverpool,40,0.0,0.0,0.0
Serge Aurier,DEF,Nott'm Forest,45,1.0814028283059225e-06,0.0,0.0
Sergi CanÃ³s TenÃ©s,MID,Brentford,50,0.0,0.0,0.0
Sergio GÃ³mez,DEF,Man City,38,0.0005320218421074376,0.0,0.0
Sergio ReguilÃ³n,DEF,Brentford,44,-0.5263628858388922,2.5768197453450252,0.0
Shandon Baptiste,MID,Brentford,43,1.2887599681276105,1.2,0.0
Shea Charles,MID,Man City,45,0.0,0.0,0.0
Shola Shoretire,FWD,Man Utd,44,0.0,0.0,0.0
Anthony Knockaert,MID,Fulham,44,0.0,0.0,0.0
Siriki DembÃ©lÃ©,MID,Bournemouth,45,0.0,0.0,0.0
Sofyan Amrabat,MID,Man Utd,50,0.8300980386015815,0.4,0.0
Solly March,MID,Brighton,61,3.0594904348577245e-08,0.0,0.0
Anthony Martial,FWD,Man Utd,64,0.10001209971414624,0.0,0.0
Stefan Bajcetic,MID,Liverpool,47,0.0,0.0,0.0
Stefan Ortega Moreno,GK,Man City,37,0.7941856348547537,0.8,0.0
Steve Cook,DEF,Nott'm Forest,45,0.0,0.0,0.0
Steven Alzate,MID,Brighton,44,0.0,0.0,0.0
Steven Benda,GK,Fulham,40,0.0,0.0,0.0
Antony Matheus dos Santos,MID,Man Utd,68,0.7830965538329691,0.4898979485566356,0.0
Sydie Peck,MID,Sheffield Utd,44,6.689222652548637e-06,0.0,0.0
Antwoine Hackford,FWD,Sheffield Utd,44,2.5138574759243455e-11,0.0,0.0
Aribim Pepple,FWD,Luton,45,0.0,0.0,0.0
Takehiro Tomiyasu,DEF,Arsenal,45,0.10018441692051086,0.0,0.0
Tanguy NdombÃ©lÃ© Alvaro,MID,Spurs,44,0.0,0.0,0.0
Tariq Lamptey,DEF,Brighton,39,1.080822234443766,2.227105745132009,0.0
Tawanda Chirewa,MID,Wolves,44,0.19210458304494096,0.4,0.0
Tayo Adaramola,DEF,Crystal Palace,40,0.0,0.0,0.0
Teden Mengi,DEF,Luton,39,1.172029032031256,0.7483314773547882,0.0
Terence Kongolo,DEF,Fulham,40,0.0,0.0,0.0
Thiago AlcÃ¡ntara do Nascimento,MID,Liverpool,47,0.003863279219779801,0.0,0.0
Arijanet Muric,GK,Burnley,43,1.3436769383524656,1.2,0.0
Thilo Kehrer,DEF,West Ham,42,8.471512831269116e-11,0.0,0.0
Thomas Cannon,FWD,Everton,45,4.096197235082123e-11,0.0,0.0
Thomas Kaminski,GK,Luton,45,1.668365444131801,1.019803902718557,0.0
Thomas Partey,MID,Arsenal,48,0.517455000383007,0.4898979485566356,0.0
Thomas Strakosha,GK,Brentford,39,3.6631949714951083e-08,0.0,0.0
Tim Iroegbunam,MID,Aston Villa,44,0.4948171594782657,0.48989794855663565,0.0
Tim Krul,GK,Luton,44,0.0,0.0,0.0
Tim Ream,DEF,Fulham,45,0.11009711096914537,0.4,0.0
Armando Broja,FWD,Fulham,49,1.1600675403321574,1.5491933384829666,0.0
Arnaut Danjuma Groeneveld,MID,Everton,52,0.006631144178220684,0.0,0.0
Ashley Phillips,DEF,Spurs,40,0.0,0.0,0.0
Toby Collyer,MID,Man Utd,45,0.0,0.0,0.0
Tom Cairney,MID,Fulham,49,0.21587355638762895,1.019803902718557,0.0
Tom Davies,MID,Sheffield Utd,50,0.9906764787061882,0.4,0.0
Tom Heaton,GK,Man Utd,40,0.0,0.0,0.0
Tom King,GK,Wolves,39,0.0,0.0,0.0
Tom Lockyer,DEF,Luton,42,2.4590722603994693e-06,0.0,0.0
Tom McGill,GK,Brighton,39,0.0,0.0,0.0
Tommi O'Reilly,MID,Aston Villa,45,0.0,0.0,0.0
Tommy Doyle,MID,Wolves,44,1.337643610262367,0.7483314773547882,0.0
TomÃ¡Å¡ SouÄek,MID,West Ham,49,2.293524924529286,2.244994432064365,0.0
Ashley Young,DEF,Everton,44,1.3753741815404048,2.0976176963403033,0.0
Auston Trusty,DEF,Sheffield Utd,39,0.5478431665905792,1.019803902718557,0.0
Travis Hernes,MID,Newcastle,45,0.0,0.0,0.0
Trent Alexander-Arnold,DEF,Liverpool,85,0.9048235644224993,1.6,0.0
Trevoh Chalobah,DEF,Chelsea,43,1.0933824000137995,0.4898979485566356,0.0
Treymaurice Nyoni,MID,Liverpool,45,0.0,0.0,0.0
Ty Barnett,MID,Wolves,45,0.0,0.0,0.0
Tyler Adams,MID,Bournemouth,49,0.08927195007045567,0.4,0.0
Tyler Onyango,MID,Everton,44,1.6384788940328487e-11,0.0,0.0
Tyrell Malacia,DEF,Man Utd,43,0.0,0.0,0.0
Tyrese Francois,MID,Fulham,44,0.0,0.0,0.0
Tyrick Mitchell,DEF,Crystal Palace,45,2.9237532586913213,1.4966629547095764,0.0
Tyrone Mings,DEF,Aston Villa,41,0.0,0.0,0.0
ValentÃ­n Barco,DEF,Brighton,40,0.0,0.0,0.0
Valintino Adedokun,DEF,Brentford,40,0.0,0.0,0.0
Vicente Guaita,GK,Crystal Palace,44,0.0,0.0,0.0
Axel Piesold,MID,Luton,45,0.0,0.0,0.0
Aymeric Laporte,DEF,Man City,49,5.84963548404115e-12,0.0,0.0
Viljami Sinisalo,GK,Aston Villa,40,0.0,0.0,0.0
Vincent Angelini,GK,Brentford,40,0.0,0.0,0.0
Bailey Peacock-Farrell,GK,Burnley,40,0.0,0.0,0.0
Bashir Humphreys,DEF,Chelsea,40,0.0,0.0,0.0
Aaron Connolly,FWD,Brighton,45,0.0,0.0,0.0
Vitaly Janelt,MID,Brentford,53,1.290102452232403,0.4898979485566356,0.0
Ben Brereton,MID,Sheffield Utd,50,0.5117546102779439,0.4,0.0
Wataru Endo,MID,Liverpool,54,1.6474900509691799,0.48989794855663565,0.0
Wayne Hennessey,GK,Nott'm Forest,39,0.0,0.0,0.0
Wes Foderingham,GK,Sheffield Utd,45,0.6350339561082101,1.2649110640673518,0.0
Wesley Fofana,DEF,Chelsea,44,0.0,0.0,0.0
Wesley Moraes Ferreira da Silva,FWD,Aston Villa,50,0.0,0.0,0.0
Wesley Okoduwa,DEF,Wolves,40,0.0,0.0,0.0
Will Hughes,MID,Crystal Palace,49,0.6751471861275727,0.7483314773547883,0.0
William Osula,FWD,Sheffield Utd,43,1.0108826333580574,0.4,0.0
Ben Chilwell,DEF,Chelsea,54,0.958984971632366,0.8944271909999159,0.0
Willian Borges da Silva,MID,Fulham,53,2.1028298894419284,0.9797958971132712,0.0
Willy Boly,DEF,Nott'm Forest,45,1.0806748004003315,0.8,0.0
Willy Kambwala,DEF,Man Utd,39,0.43835829149527994,0.4,0.0
Aaron Ramsdale,GK,Arsenal,45,0.9741617118969507,1.2,0.0
Aaron Hickey,DEF,Brentford,44,7.5113807973467e-08,0.0,0.0
Yago de Santiago Alonso,MID,Spurs,45,0.0,0.0,0.0
Yasin Ayari,MID,Brighton,45,0.0,0.0,0.0
Yasser Larouci,DEF,Sheffield Utd,43,0.42263367612493447,0.8,0.0
Yegor Yarmoliuk,MID,Brentford,43,0.7833663976628858,0.4898979485566356,0.0
Yerson Mosquera,DEF,Wolves,40,0.0,0.0,0.0
Ben Davies,DEF,Spurs,43,0.2596015257227086,0.4898979485566356,0.0
Youri Tielemans,MID,Aston Villa,56,1.8590806607956991,1.469693845669907,0.0
Youssef Ramalho Chermiti,FWD,Everton,48,0.764925707719631,0.4898979485566356,0.0
Yves Bissouma,MID,Spurs,50,1.9711219473644548,0.7483314773547882,0.0
Zack Nelson,MID,Luton,45,0.11706246032038432,0.4,0.0
Zack Steffen,GK,Man City,39,0.0,0.0,0.0
Zeki Amdouni,FWD,Burnley,53,0.4704213197391788,0.4898979485566356,0.0
Ãlvaro FernÃ¡ndez Carreras,DEF,Man Utd,40,0.0,0.0,0.0
Ãngelo Gabriel Borges Damaceno,MID,Chelsea,50,0.0,0.0,0.0
Aaron Wan-Bissaka,DEF,Man Utd,44,0.1003693649505255,0.0,0.0
