name,position,team,latest_value,expected_points,std_points,selection_freq
Benjamin Arthur,DEF,Brentford,40,0.0,0.0,0.0
Benjamin Fredrick,DEF,Brentford,40,0.0,0.0,0.0
BenoÃ®t Badiashile,DEF,Chelsea,44,0.22291194962469135,0.4,0.0
Bernardo Veiga de Carvalho e Silva,MID,Man City,62,1.9385510177533853,1.16619037896906,0.0
Bertrand TraorÃ©,MID,Aston Villa,50,1.0842870852120768e-08,0.0,0.0
Billy Blacker,FWD,Sheffield Utd,45,0.0,0.0,0.0
Billy Gilmour,MID,Brighton,49,0.19188166178805757,1.2,0.0
Bobby Clark,MID,Liverpool,44,0.47461029094683577,0.48989794855663565,0.0
Bobby De Cordova-Reid,MID,Fulham,53,1.4069132194292333,1.16619037896906,0.0
Bobby Thomas,DEF,Burnley,40,0.0,0.0,0.0
Boubacar Kamara,MID,Aston Villa,50,0.014347691919874677,0.0,0.0
Boubacar TraorÃ©,MID,Wolves,43,0.27994669069510286,0.4898979485566356,0.0
Bradley Ibrahim,MID,Arsenal,45,0.0,0.0,0.0
Braian Ojeda RodrÃ­guez,MID,Nott'm Forest,45,0.0,0.0,0.0
Brandon Aguilera Zamora,MID,Nott'm Forest,45,0.0002905765772338927,0.0,0.0
Brandon Austin,GK,Spurs,39,0.0,0.0,0.0
Brandon Williams,DEF,Man Utd,40,0.0,0.0,0.0
Bruno Cavaco JordÃ£o,MID,Wolves,43,0.0,0.0,0.0
Bryan Gil Salvatierra,MID,Spurs,49,0.005408830430354209,0.0,0.0
Bryan Mbeumo,MID,Brentford,67,0.5288139958842091,0.4,0.0
BÃ©nie TraorÃ©,FWD,Sheffield Utd,51,3.7578527902359293e-06,0.0,0.0
CJ Egan-Riley,DEF,Burnley,39,0.0,0.0,0.0
Callum Marshall,FWD,West Ham,45,0.0,0.0,0.0
Callum Scanlon,DEF,Liverpool,39,0.0,0.0,0.0
Callum Wilson,FWD,Newcastle,78,0.2244080517001705,0.4,0.0
Calum Chambers,DEF,Aston Villa,38,0.12157243469245621,0.4,0.0
Cameron Peupion,MID,Brighton,45,0.0,0.0,0.0
Carlos Baleba,MID,Brighton,45,1.2081126951168348,1.0954451150103321,0.0
Carlos Henrique Casimiro,MID,Man Utd,53,1.9566373162052837,1.019803902718557,0.0
Carlos Mendes Gomes,MID,Luton,45,0.0,0.0,0.0
Carlos VinÃ­cius Alves Morais,FWD,Fulham,45,7.400664767823062e-05,0.0,0.0
Carney Chukwuemeka,MID,Chelsea,42,0.678098270355651,0.48989794855663565,0.0
Cesare Casadei,MID,Chelsea,45,0.7248221932283786,0.48989794855663565,0.0
Charles Sagoe,MID,Arsenal,45,0.0,0.0,0.0
Charlie Goode,DEF,Brentford,39,0.0,0.0,0.0
Charlie Taylor,DEF,Burnley,40,1.0210049316267036,0.4,0.0
Cheick DoucourÃ©,MID,Crystal Palace,49,4.145685447103221e-07,0.0,0.0
Cheikhou KouyatÃ©,MID,Nott'm Forest,48,0.27594814751746405,0.4,0.0
Chiedozie Ogbene,FWD,Luton,49,2.530727565126458,1.2,0.0
Chris Basham,DEF,Sheffield Utd,39,7.063181199136115e-09,0.0,0.0
Christian Eriksen,MID,Man Utd,58,0.13440930876301682,0.4,0.0
Christian NÃ¸rgaard,MID,Brentford,53,0.9828269352693609,0.7999999999999999,0.0
Christian Pulisic,MID,Chelsea,55,0.0,0.0,0.0
Christopher Nkunku,FWD,Chelsea,72,0.546055811121381,0.7483314773547882,0.0
ClÃ©ment Lenglet,DEF,Aston Villa,45,1.0265446714854076,0.6324555320336759,0.0
Connor Roberts,DEF,Burnley,43,0.0003540507052232986,0.0,0.0
Conor Coventry,MID,West Ham,43,0.0,0.0,0.0
Curtis Jones,MID,Liverpool,49,0.4100963679140174,0.8,0.0
CÃ©dric Alves Soares,DEF,Arsenal,38,0.3071969280009373,0.4898979485566356,0.0
CÃ©sar Azpilicueta,DEF,Chelsea,45,0.0,0.0,0.0
Daiki Hashioka,DEF,Luton,40,0.3712401693088946,0.48989794855663565,0.0
Dan Potts,DEF,Luton,39,0.0,0.0,0.0
Dane Scarlett,FWD,Spurs,45,0.16120233728463398,0.4,0.0
Daniel Bentley,GK,Wolves,39,0.27632395656346687,0.4,0.0
Daniel Castelo Podence,MID,Wolves,53,0.0,0.0,0.0
Daniel Gore,MID,Man Utd,45,9.148367185901724e-05,0.0,0.0
Daniel Jebbison,FWD,Sheffield Utd,48,0.0,0.0,0.0
Danilo dos Santos de Oliveira,MID,Nott'm Forest,53,1.2457123651148434,1.2,0.0
Dara Costelloe,MID,Burnley,45,0.0,0.0,0.0
Dara O'Shea,DEF,Burnley,44,1.3542778299641618,0.7483314773547882,0.0
Darko Churlinov,MID,Burnley,44,0.0,0.0,0.0
Darren Randolph,GK,Bournemouth,40,0.0,0.0,0.0
David Brooks,MID,Bournemouth,47,0.001385939807773632,0.0,0.0
David Ozoh,MID,Crystal Palace,45,0.19184965495382442,0.4898979485566356,0.0
Davinson SÃ¡nchez,DEF,Spurs,44,0.0,0.0,0.0
